INSTNM,CITY,STABBR,ZIP,COSTT4_A
Toledo Academy of Beauty Culture-East,OREGON,OH,43616,NULL
U S Grant Joint Vocational School,Bethel,OH,45106,NULL
Chisholm Trail Technology Center,Omega,OK,73764-6335,NULL
Gordon Cooper Technology Center,Shawnee,OK,74804,NULL
Kiamichi Technology Center-Atoka,Atoka,OK,74525-0240,NULL
Kiamichi Technology Center-Durant,Durant,OK,74701-1904,NULL
Kiamichi Technology Center-Hugo,Hugo,OK,74743,NULL
Kiamichi Technology Center-McAlester,McAlester,OK,74501,NULL
Kiamichi Technology Center-Idabel,Idabel,OK,74745-2415,NULL
Kiamichi Technology Center-Poteau,Poteau,OK,74953,NULL
Kiamichi Technology Center-Spiro,Spiro,OK,74959,NULL
Kiamichi Technology Centers-Talihina Campus,Talihina,OK,74571,NULL
YTI Career Institute-Altoona,Altoona,PA,16602,NULL
Eastern Center for Arts and Technology,Willow Grove,PA,19090,NULL
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,19102-2701,NULL
CEM College-Humacao,Humacao,PR,00791-4210,11633
Colegio Mayor de Tecnologia Inc,Arroyo,PR,00714-0270,NULL
Institucion Chaviano de Mayaguez,Mayaguez,PR,680,NULL
EDIC College,Caguas,PR,00725-0000,10010
Liceo de Arte-Dise-O y Comercio,Caguas,PR,725,10789
Universal Technology College of Puerto Rico,Aguadilla,PR,603,NULL
Academy of Hair Technology,Greenville,SC,29615-2363,NULL
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,38501,NULL
Queen City College,Clarksville,TN,37042,NULL
College of the Marshall Islands,Majuro,MH,96960,8750
Remington College-Fort Worth Campus,Fort Worth,TX,76112-1225,26960
UCAS University of Cosmetology Arts & Sciences,San Antonio,TX,78214,NULL
School of Automotive Machinists & Technology,Houston,TX,77055-1803,NULL
SW School of Business and Technical Careers-Cosmetology,San Antonio,TX,78212-1901,NULL
SW School of Business and Technical Careers,Eagle Pass,TX,78852-4859,NULL
Texas College of Cosmetology-Abilene,Abilene,TX,79605,NULL
Vista College-Online,Richardson,TX,75080,NULL
Centura College-Newport News,Newport News,VA,23608,29286
Centura College-Norfolk,Norfolk,VA,23518-4833,29882
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,NULL
Northwest College of Art & Design,Tacoma,WA,98402,29894
University of Washington-Bothell Campus,Bothell,WA,98011-8246,21568
University of Washington-Tacoma Campus,Tacoma,WA,98402-3100,20426
Valley College-Beckley,Beckley,WV,25801,NULL
Valley College-Martinsburg,Martinsburg,WV,25404-6203,NULL
Valley College-Princeton,Princeton,WV,24740,NULL
Bellus Academy-Poway,Poway,CA,92064,NULL
Capstone College,Pasadena,CA,91103,NULL
Central Coast College,Salinas,CA,93901-3301,NULL
Pacific College of Oriental Medicine-San Diego,San Diego,CA,92108-4407,24921
Artistic Nails and Beauty Academy-Tampa,Tampa,FL,33605,NULL
National Aviation Academy of Tampa Bay,Clearwater,FL,33760,NULL
Madison Oneida BOCES-Practical Nursing Program,Verona,NY,13478-0168,NULL
Astrodome Career Centers,Houston,TX,77054,NULL
Center for Advanced Legal Studies,Houston,TX,77042-1912,NULL
Houston Training School-Main Campus,Houston,TX,77026,NULL
Bay Mills Community College,Brimley,MI,49715,12072
Fond du Lac Tribal and Community College,Cloquet,MN,55720-2342,14483
Northwest Indian College,Bellingham,WA,98226-9217,15202
Provo College,Provo,UT,84601,22308
Paul Mitchell the School-Provo,Provo,UT,84606,NULL
University of Phoenix-Utah,Salt Lake City,UT,84123-4642,20940
Cortiva Institute-Salt Lake,Salt Lake City,UT,84111,NULL
CET-Coachella,Coachella,CA,92236,NULL
CET-Oxnard,Oxnard,CA,93030,NULL
CET-Santa Maria,Santa Maria,CA,93458,NULL
Colorado School of Traditional Chinese Medicine,Denver,CO,80206,NULL
Massage Therapy Institute of Colorado,Denver,CO,80206,NULL
Michigan College of Beauty-Troy,Troy,MI,48083,NULL
Ogle School Hair Skin Nails-Dallas,Dallas,TX,75214-2389,NULL
Phoenix Seminary,Scottsdale,AZ,85260,NULL
Faust Institute of Cosmetology-Spirit Lake,Spirit Lake,IA,51360,NULL
Cheeks Beauty Academy,Loveland,CO,80538,NULL
Colorado School of Healing Arts,Lakewood,CO,80226,30907
Healing Arts Institute,Fort Collins,CO,80525-3479,NULL
Los Angeles ORT College-Van Nuys Campus,Van Nuys,CA,91411,NULL
University of Phoenix-Puerto Rico,Guaynabo,PR,00968-3028,NULL
Mt. Diablo Adult Education-Mt. Diablo USD,Concord,CA,94518-1199,NULL
Royale College of Beauty and Barbering,Temecula,CA,92590,NULL
Greater Lowell Technical School,Tyngsboro,MA,1879,NULL
Academy of Hair Design-Pearl,Pearl,MS,39208,NULL
King's College,Charlotte,NC,28204,21531
Miller-Motte Technical College-Clarksville,Clarksville,TN,37040,25210
Genesis Career College-Lebanon,Lebanon,TN,37087,NULL
Brightwood College-Dallas,Dallas,TX,75234,NULL
Star College of Cosmetology 2,Tyler,TX,75702-8214,NULL
Southwest Collegiate Institute for the Deaf,Big Spring,TX,79720-7298,11606
Fortis College-Richmond,Richmond,VA,23230,27383
Midwest College of Oriental Medicine-Racine,Racine,WI,53403-9747,NULL
Hacienda La Puente Adult Education,La Puente,CA,91746-0002,NULL
La Belle Beauty Academy,Miami,FL,33144,NULL
Hawaii Community College,Hilo,HI,96720-5096,16648
Robert Fiance Beauty Schools-North Plainfield,North Plainfield,NJ,7060,NULL
Long Island Beauty School-Hauppauge,Hauppauge,NY,11788,NULL
Buckeye Joint Vocational School,New Philadelphia,OH,44663-9450,NULL
Sandusky Career Center,Sandusky,OH,44870,NULL
Greater Altoona Career & Technology Center,Altoona,PA,16602-3616,NULL
Central Texas Beauty College-Temple,Temple,TX,76504-6948,NULL
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Angola,NY,14006,NULL
Empire Beauty School-Brooklyn,Brooklyn,NY,11214,NULL
Houston Training School-Gulfgate,Houston,TX,77087,NULL
Antonelli College-Hattiesburg,Hattiesburg,MS,39401,27619
Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,NM,88345,14347
United Education Institute-Ontario,Ontario,CA,91764-5574,NULL
United Education Institute-Encino,Encino,CA,91316-1951,NULL
Beacon College,Leesburg,FL,34748,53034
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,NULL
Estrella Mountain Community College,Avondale,AZ,85392-1000,11416
Heartland Community College,Normal,IL,61761-9446,11877
University of the Potomac-Washington DC Campus,Washington,DC,20005,23062
Rabbi Jacob Joseph School,Edison,NJ,08817-4494,19200
The Salon Professional Academy-Melbourne,Melbourne,FL,32904,NULL
Fortis Institute-Scranton,Scranton,PA,18509-2903,33936
Milan Institute of Cosmetology,Reno,NV,89502,NULL
Everglades University,Boca Raton,FL,33431,31292
Seminar L'moros Bais Yaakov,Brooklyn,NY,11219,20296
Herzing University-Winter Park,Winter Park,FL,32792,28306
Fairview Beauty Academy,Fairview Park,OH,44126-2214,NULL
Cortiva Institute-Pompano,Pompano Beach,FL,33064,NULL
National College-Nashville,Nashville,TN,37211,25487
College of Biblical Studies-Houston,Houston,TX,77036-3211,19135
Inner State Beauty School,Lyndhurst,OH,44124-2406,NULL
Virginia College-Pensacola,Pensacola,FL,32502-4650,NULL
Mid-EastCTC-Adult Education,Zanesville,OH,43701,NULL
Everest University-South Orlando,Tampa,FL,33610-7666,NULL
Polaris Career Center,Middleburg Heights,OH,44130-3375,NULL
P&A Scholars Beauty School,Detroit,MI,48204,NULL
ASM Beauty World Academy,Hollywood,FL,33024,NULL
Sharps Academy of Hair Styling,Grand Blanc,MI,48439,NULL
The College of Health Care Professions-Northwest,Houston,TX,77092,NULL
School of Professional Horticulture New York Botanical Garden,Bronx,NY,10458-5126,34150
Fortis College,Houston,TX,77082,NULL
Watkins College of Art Design & Film,Nashville,TN,37228,37273
Alhambra Beauty College,Alhambra,CA,91801,NULL
UEI College-Gardena,Gardena,CA,90247,NULL
Asian-American International Beauty College,Westminster,CA,92683,NULL
Copper Mountain Community College,Joshua Tree,CA,92252,13199
Diversified Vocational College,Los Angeles,CA,90017-1604,NULL
UEI College-Fresno,Fresno,CA,93726,NULL
Mt Sierra College,Monrovia,CA,91016,27686
Santiago Canyon College,Orange,CA,92869-4512,9795
Southern California Institute of Technology,Anaheim,CA,92801-3758,29956
Soka University of America,Aliso Viejo,CA,92656-8081,45592
Summit College,Colton,CA,92324,NULL
Advance Beauty College,Garden Grove,CA,92843,NULL
World Mission University,Los Angeles,CA,90020,21205
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,90066,NULL
Cannella School of Hair Design-Blue Island,Blue Island,IL,60406-2130,NULL
John Amico School of Hair Design,Oak Forest,IL,60452-2501,NULL
Delta College Inc,Covington,LA,70433-8947,NULL
Southwest University of Visual Arts-Albuquerque,Albuquerque,NM,87110,30968
Tri-State Cosmetology Institute,El Paso,TX,79935,NULL
Frontier Community College,Fairfield,IL,62837,7147
Lincoln Trail College,Robinson,IL,62454,6551
Wabash Valley College,Mount Carmel,IL,62863,7118
American Institute of Interior Design,Fountain Hills,AZ,85268,NULL
Brookline College-Tempe,Tempe,AZ,85281,NULL
Inter American University of Puerto Rico-School of Optometry,Bayamon,PR,957,NULL
Schiller International University,Largo,FL,33771,24360
Vatterott College-Springfield,Springfield,MO,65807,24890
Vatterott College-Joplin,Joplin,MO,64801,24427
Vatterott College-Kansas City,Kansas City,MO,64117,24838
Coconino Community College,Flagstaff,AZ,86005-2701,15673
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,795,NULL
Franklin Academy,Cleveland,TN,37312-3862,NULL
Columbia Central University-Yauco,Yauco,PR,698,9804
Pima Medical Institute-Denver,Denver,CO,80221,NULL
ASA College,Brooklyn,NY,11201-9805,31642
Ohio State School of Cosmetology-Heath,Heath,OH,43056,NULL
Ohio State School of Cosmetology,Marion,OH,43302,NULL
Yeshivas Novominsk,Brooklyn,NY,11204-2138,17115
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,78414,NULL
Kiamichi Technology Center-Stigler,Stigler,OK,74462-9601,NULL
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,11211,27000
Carroll Community College,Westminster,MD,21157,8599
University of Phoenix-New Mexico,Albuquerque,NM,87113-1570,20940
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,33716,NULL
Galen College of Nursing-San Antonio,San Antonio,TX,78229,NULL
Sarasota School of Massage Therapy,Sarasota,FL,34243-6130,NULL
Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,NY,14903,NULL
DCI Career Institute,Monaca,PA,15061,NULL
Central Susquehanna Intermediate Unit LPN Career,Lewisburg,PA,17837,NULL
Myotherapy College of Utah,Salt Lake City,UT,84115,NULL
Graham Webb International Academy of Hair,Arlington,VA,22209-2131,NULL
City College-Gainesville,Gainesville,FL,32607,25631
Arizona State University-West,Glendale,AZ,85306,21448
Cortiva Institute-Westport,Westport,CT,06880-4619,NULL
G Skin & Beauty Institute,Oakbrook,IL,60523,NULL
Cosmetology Training Center,Lafayette,LA,70503,NULL
Stage One-The Hair School,Lake Charles,LA,70605,NULL
Empire Beauty School-Malden,Malden,MA,2148,NULL
Omaha School of Massage and Healthcare of Herzing University,Omaha,NE,68127,27833
Xenon International Academy-Omaha,Omaha,NE,68127-3622,NULL
Capri Institute of Hair Design-Brick,Brick,NJ,8723,NULL
Capri Institute of Hair Design-Kenilworth,Kenilworth,NJ,7033,NULL
Capri Institute of Hair Design-Paramus,Paramus,NJ,7652,NULL
Orlo School of Hair Design and Cosmetology,Albany,NY,12206,NULL
Eastland-Fairfield Career and Technical Schools,Groveport,OH,43125-9236,NULL
Empire Beauty School-Cincinnati,Cincinnati,OH,45239,NULL
Mahoning County Career and Technical Center,Canfield,OH,44406-9710,NULL
Pickaway Ross Joint Vocational School District,Chillicothe,OH,45601-1038,NULL
Pioneer Career and Technology Center,Shelby,OH,44875,NULL
Raphael's School of Beauty Culture Inc-Boardman,Boardman,OH,44512,NULL
Scioto County Career Technical Center,Lucasville,OH,45648-0766,NULL
Trumbull Career & Technical Center,Warren,OH,44483,NULL
Northwest Technology Center-Fairview,Fairview,OK,73737,NULL
Pacific Bible College,Medford,OR,97501,NULL
Lake Erie College of Osteopathic Medicine,Erie,PA,16509-1025,NULL
UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,78550-5034,NULL
Gene Juarez Academy of Beauty-Federal Way,Federal Way,WA,98003,NULL
Empire Beauty School-Green Bay,Ashwaubenon,WI,54304-4838,NULL
Warren County Career Center,Lebanon,OH,45036-1099,NULL
Paul Mitchell the School-Wichita,Wichita,KS,67226-0000,NULL
Pinnacle Institute of Cosmetology,Mooresville,NC,28115,NULL
Southern Careers Institute-Pharr,Pharr,TX,78577,NULL
Laurel Technical Institute,MEADVILLE,PA,16335,14334
Florida National University-Main Campus,Hialeah,FL,33012,26118
Georgia Institute of Cosmetology,Athens,GA,30606-3152,NULL
Nouvelle Institute,Miami,FL,33125,NULL
Franklin Technology-MSSU,Joplin,MO,64801-1595,NULL
Professional Technical Institution Inc,Bayamon,PR,959,NULL
Erikson Institute,Chicago,IL,60654-4510,NULL
South Texas College,McAllen,TX,78502-9701,6787
Lorain County Joint Vocational School District,Oberlin,OH,44074,NULL
Roger Williams University School of Law,Bristol,RI,02809-5171,NULL
California State University-Monterey Bay,Seaside,CA,93955-8001,20834
Bryant & Stratton College-Henrietta,Rochester,NY,14623,21797
Argosy University-The Art Institute of California-Hollywood,North Hollywood,CA,91601,34475
Ohio Media School-Valley View,Valley View,OH,44125-4220,NULL
EINE Inc,Tewksbury,MA,1876,NULL
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA,90010,NULL
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,OH,44119,NULL
Academy for Nursing and Health Occupations,West Palm Beach,FL,33417,NULL
Shawsheen Valley School of Practical Nursing,Billerica,MA,01821-5499,NULL
Shear Ego International School of Hair Design,Rochester,NY,14617,NULL
Remington College-Memphis Campus,Memphis,TN,38132,24131
Fayette Institute of Technology,Oak Hill,WV,25901,NULL
Professional Beauty School,Yakima,WA,98902,NULL
Capella University,Minneapolis,MN,55402-3389,19836
College of Menominee Nation,Keshena,WI,54135-1179,13458
Leech Lake Tribal College,Cass Lake,MN,56633,17573
Spartan College of Aeronautics & Technology,Inglewood,CA,90301-2904,NULL
Stone Academy-Waterbury,Waterbury,CT,6705,NULL
East San Gabriel Valley Regional Occupational Program,West Covina,CA,91790,NULL
Yukon Beauty College Inc,Yukon,OK,73099,NULL
United Education Institute-Morrow,Morrow,GA,30260-2941,NULL
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA,30062,NULL
Mitchell's Hair Styling Academy-Raleigh,Raleigh,NC,27606,NULL
Artistic Academy of Hair Design,Morris Plains,NJ,7950,NULL
Motoring Technical Training Institute,Seekonk,MA,2771,NULL
Mech-Tech College,Caguas,PR,00725-0000,16205
Baldwin Beauty School-North Austin,Austin,TX,78757-7068,NULL
Jean Madeline Aveda Institute,Philadelphia,PA,19147,NULL
Pacific College of Oriental Medicine-New York,New York,NY,10038,32363
Johnson & Wales University-North Miami,North Miami,FL,33181,46164
Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,46256,NULL
Trine University-Regional/Non-Traditional Campuses,Fort Wayne,IN,46825,26692
Pennsylvania Highlands Community College,Johnstown,PA,15904-2949,10533
Nevada Career Institute,Las Vegas,NV,89130,NULL
Phillips Theological Seminary,Tulsa,OK,74116-5612,NULL
Empire Beauty School-Hanover,Hanover,PA,17331,NULL
Industrial Management Training Institute,Waterbury,CT,6706,NULL
Faris Technical Institute Inc,Nederland,TX,77627-3829,NULL
Allen School-Jamaica,Jamaica,NY,11432,NULL
Premiere Career College,Irwindale,CA,91706-3746,NULL
Tennessee Academy of Cosmetology-Stage Road,Memphis,TN,38133,NULL
The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,NULL
Paul Mitchell the School-Huntsville,Madison,AL,35758,NULL
Estes Institute of Cosmetology Arts and Science,Visalia,CA,93291,NULL
Baldwin Park Adult & Community Education,Baldwin Park,CA,91706-4221,NULL
Ventura Adult and Continuing Education,Ventura,CA,93003-0000,NULL
Howell Cheney THS/CT Aero Tech School,Hartford,CT,6114,NULL
College of Business and Technology-Miami Campus,Miami,FL,33174,NULL
City College-Altamonte Springs,Altamonte Springs,FL,32714,25081
Empire Beauty School-Dunwoody,Dunwoody,GA,30338,NULL
Cobb Beauty College Inc,Kennesaw,GA,30144-2828,NULL
Career Center of Southern Illinois,Red Bud,IL,62278,NULL
Crave Beauty Academy,Wichita,KS,67203,NULL
Camelot College,Baton Rouge,LA,70805,NULL
Hastings Beauty School,Hastings,MN,55033,NULL
Kirksville Area Technical Center,Kirksville,MO,63501,NULL
South Central Career Center,West Plains,MO,65775,NULL
Saline County Career Center,Marshall,MO,65340-1698,NULL
Warrensburg Area Career Center,Warrensburg,MO,64093,NULL
Nevada Regional Technical Center,Nevada,MO,64772,NULL
Cass Career Center,Harrisonville,MO,64701-2024,NULL
Applied Technology Services,Sunset Hills,MO,63127,NULL
